epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8132,1.88504,2.51981,1.5849,0.38618,0.33484,0.19254,0.07046,2.22,2.79034,1.98037,0.000331588,0.000331588,0.0671728
2,183.403,1.7711,1.99577,1.50796,0.41583,0.39938,0.3501,0.14024,2.16069,2.33733,1.87277,0.000642979,0.000642979,0.0341508
3,267.835,1.75134,1.86958,1.48767,0.63888,0.47009,0.51138,0.24591,1.8894,1.9636,1.71152,0.00093237,0.00093237,0.00110689
4,351.548,1.71872,1.77825,1.47065,0.61911,0.58108,0.56886,0.26782,1.90103,1.83662,1.67177,0.000901,0.000901,0.000901
5,449.99,1.67234,1.71093,1.43963,0.65202,0.56695,0.5957,0.2864,1.81105,1.70802,1.61228,0.000868,0.000868,0.000868
6,532.852,1.63136,1.62431,1.41237,0.62948,0.59888,0.60226,0.3061,1.7849,1.73315,1.60638,0.000835,0.000835,0.000835
7,621.046,1.61705,1.59439,1.39852,0.63022,0.56883,0.58999,0.27998,1.81608,1.72186,1.58214,0.000802,0.000802,0.000802
8,740.235,1.57985,1.55198,1.37942,0.7035,0.52636,0.61656,0.31773,1.74462,1.60643,1.55094,0.000769,0.000769,0.000769
9,855.77,1.5828,1.5056,1.37851,0.70519,0.614,0.66502,0.347,1.72878,1.67808,1.51489,0.000736,0.000736,0.000736
10,974.185,1.55109,1.45509,1.35458,0.70021,0.58265,0.63343,0.32269,1.71393,1.5499,1.50637,0.000703,0.000703,0.000703
11,1094.27,1.55784,1.43908,1.35663,0.73743,0.62485,0.67356,0.36528,1.67257,1.5204,1.49781,0.00067,0.00067,0.00067
12,1220.84,1.52014,1.40192,1.33652,0.70285,0.63888,0.68021,0.34516,1.73534,1.50831,1.55899,0.000637,0.000637,0.000637
13,1347.69,1.50568,1.38192,1.33104,0.68475,0.63492,0.68141,0.34359,1.71158,1.57967,1.51294,0.000604,0.000604,0.000604
14,1461.9,1.50325,1.37196,1.32195,0.73316,0.60563,0.66027,0.35106,1.65066,1.5354,1.47388,0.000571,0.000571,0.000571
15,1584.43,1.46999,1.30958,1.30344,0.7192,0.61628,0.69328,0.35803,1.67814,1.47575,1.47171,0.000538,0.000538,0.000538
16,1692.62,1.45059,1.28163,1.29214,0.71424,0.68669,0.71755,0.36776,1.67869,1.36116,1.4847,0.000505,0.000505,0.000505
17,1810.55,1.44533,1.28363,1.29329,0.67099,0.68394,0.70114,0.35328,1.66622,1.44583,1.46378,0.000472,0.000472,0.000472
18,1921.51,1.42579,1.25129,1.26788,0.71829,0.68721,0.72583,0.40331,1.62983,1.3732,1.47741,0.000439,0.000439,0.000439
19,2038.9,1.40175,1.22217,1.26138,0.78835,0.64125,0.71702,0.39324,1.61288,1.35339,1.42285,0.000406,0.000406,0.000406
20,2132.75,1.42103,1.22755,1.27148,0.71947,0.67693,0.71005,0.37155,1.65985,1.36893,1.47534,0.000373,0.000373,0.000373
21,2239.1,1.41793,1.19817,1.30867,0.6976,0.7042,0.71091,0.38732,1.61203,1.36233,1.4606,0.00034,0.00034,0.00034
22,2347.05,1.3953,1.14023,1.29916,0.69058,0.69748,0.71567,0.39308,1.59139,1.34058,1.43941,0.000307,0.000307,0.000307
23,2452.95,1.36677,1.09821,1.28474,0.69716,0.71016,0.72303,0.39142,1.60897,1.32706,1.44158,0.000274,0.000274,0.000274
24,2557.6,1.34247,1.06229,1.26732,0.76573,0.64513,0.72243,0.38808,1.63218,1.30423,1.44717,0.000241,0.000241,0.000241
25,2657.69,1.32824,1.02557,1.25809,0.80668,0.62916,0.72479,0.38782,1.58635,1.29964,1.42037,0.000208,0.000208,0.000208
26,2769.65,1.32455,1.0077,1.25576,0.76408,0.65909,0.72595,0.4072,1.61163,1.3039,1.43215,0.000175,0.000175,0.000175
27,2877.28,1.31344,1.00093,1.24469,0.79541,0.64478,0.73197,0.41523,1.58772,1.30332,1.42082,0.000142,0.000142,0.000142
28,2993.99,1.2803,0.96938,1.23194,0.80344,0.64739,0.74162,0.40873,1.58876,1.26554,1.41305,0.000109,0.000109,0.000109
29,3099.12,1.26905,0.95201,1.22138,0.80634,0.6406,0.73545,0.39706,1.60177,1.2702,1.4251,7.6e-05,7.6e-05,7.6e-05
30,3200.49,1.24985,0.93258,1.21842,0.81623,0.63332,0.73975,0.40974,1.59295,1.26853,1.42674,4.3e-05,4.3e-05,4.3e-05
