epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48866,2.08769,3.09005,2.05679,0.0053,0.72951,0.05109,0.01576,2.54856,3.6117,3.01121,0.00013,0.00013,0.08713
2,18.083,1.89573,2.53549,1.84533,0.00452,0.62295,0.07235,0.02132,2.68175,3.22998,3.02079,0.00026109,0.00026109,0.0732611
3,24.4439,1.75379,2.23489,1.81062,0.45425,0.21311,0.21676,0.08358,2.09387,3.17499,2.32924,0.00038294,0.00038294,0.0593829
4,29.7694,1.80199,1.98727,1.87236,0.48949,0.32787,0.36665,0.14143,1.94865,2.54943,2.05319,0.00049555,0.00049555,0.0454956
5,34.9116,1.77579,1.89468,1.83405,0.59392,0.48361,0.44042,0.17612,1.9772,2.19433,2.16961,0.00059892,0.00059892,0.0315989
6,39.393,1.70765,1.83716,1.80072,0.41098,0.43443,0.3794,0.14743,2.07442,2.10504,2.29932,0.00069305,0.00069305,0.0176931
7,43.637,1.78516,1.93095,1.84977,0.33445,0.28689,0.18663,0.05848,2.23741,3.15712,2.61296,0.00077794,0.00077794,0.00377794
8,47.7276,1.72922,1.79951,1.78921,0.51034,0.45082,0.4568,0.18614,1.95748,2.45616,2.21871,0.000769,0.000769,0.000769
9,51.9316,1.70489,1.7051,1.75064,0.50301,0.32787,0.35401,0.14913,1.90688,2.40454,2.16356,0.000736,0.000736,0.000736
10,56.0357,1.75424,1.80473,1.76464,0.44718,0.41803,0.41284,0.16799,1.95297,2.13532,2.1108,0.000703,0.000703,0.000703
11,60.1809,1.6147,1.65394,1.7114,0.70606,0.45082,0.54671,0.21462,1.92135,2.24042,2.08197,0.00067,0.00067,0.00067
12,64.3904,1.68681,1.66929,1.73053,0.57616,0.58197,0.57843,0.25197,1.85988,1.84504,2.01418,0.000637,0.000637,0.000637
13,68.5765,1.63659,1.59897,1.70324,0.5803,0.57377,0.55639,0.22493,1.91445,1.83014,2.02676,0.000604,0.000604,0.000604
14,72.7481,1.69991,1.6153,1.72566,0.66498,0.45902,0.53524,0.2071,2.00691,1.89501,2.09593,0.000571,0.000571,0.000571
15,76.8313,1.58589,1.48689,1.65022,0.55664,0.59836,0.56545,0.24467,1.96689,1.82444,2.04646,0.000538,0.000538,0.000538
16,80.9219,1.65465,1.55175,1.70293,0.64396,0.56557,0.60327,0.25396,1.85796,1.69662,1.91393,0.000505,0.000505,0.000505
17,85.0907,1.63241,1.57526,1.65964,0.68437,0.5,0.58916,0.24184,1.88646,1.7146,1.92763,0.000472,0.000472,0.000472
18,89.2145,1.54458,1.45104,1.62499,0.60657,0.64451,0.63751,0.26913,1.81757,1.65941,1.9194,0.000439,0.000439,0.000439
19,93.3363,1.57185,1.4961,1.64188,0.56161,0.59836,0.58238,0.24569,1.8574,1.69198,1.95294,0.000406,0.000406,0.000406
20,97.6029,1.51423,1.41338,1.60034,0.68424,0.60392,0.62389,0.26411,1.82706,1.66825,1.92322,0.000373,0.000373,0.000373
21,101.299,1.59478,1.58764,1.72063,0.67903,0.56557,0.63068,0.27326,1.82844,1.64213,1.91574,0.00034,0.00034,0.00034
22,105.145,1.54975,1.38745,1.68914,0.67326,0.51639,0.59853,0.26384,1.82279,1.72694,1.93653,0.000307,0.000307,0.000307
23,108.878,1.56273,1.35848,1.64916,0.75784,0.51639,0.63641,0.26299,1.85938,1.65792,1.98379,0.000274,0.000274,0.000274
24,112.593,1.49911,1.32372,1.6557,0.65021,0.63934,0.68054,0.29457,1.81156,1.52175,1.91972,0.000241,0.000241,0.000241
25,116.345,1.41448,1.24998,1.56183,0.77381,0.56085,0.69907,0.31396,1.77658,1.54995,1.86551,0.000208,0.000208,0.000208
26,120.083,1.4279,1.1989,1.59281,0.65647,0.59836,0.69922,0.31607,1.77436,1.5279,1.8377,0.000175,0.000175,0.000175
27,123.944,1.39749,1.14607,1.58754,0.69472,0.63115,0.69949,0.3245,1.78458,1.50663,1.84088,0.000142,0.000142,0.000142
28,128.1,1.42256,1.17687,1.58103,0.65648,0.64754,0.69348,0.32767,1.80544,1.46974,1.85471,0.000109,0.000109,0.000109
29,134.108,1.40673,1.14481,1.58769,0.67881,0.64097,0.70299,0.3276,1.80867,1.45167,1.85561,7.6e-05,7.6e-05,7.6e-05
30,139.917,1.34259,1.06982,1.53723,0.70516,0.60773,0.6951,0.32715,1.7939,1.44558,1.84935,4.3e-05,4.3e-05,4.3e-05
